bodega;stand;zona;nombre;tipo;varietal;pais;region;anada;grado_alcohol;precio;cuerpo;dulzor;acidez;taninos;notas;maridajes;descripcion;foto
Concha y Toro;A-01;Chile;Casillero del Diablo Cabernet Sauvignon;tinto;Cabernet Sauvignon;Chile;Valle Central;2022;13.5;49;4;2;3;3;cassis|ciruela|vainilla;carnes rojas|quesos;El tinto chileno más conocido del mundo: frutado, con barrica discreta.;casillero-cabernet.jpg
Viña Santa Rita;A-02;Chile;120 Sauvignon Blanc;blanco;Sauvignon Blanc;Chile;Valle Central;2024;12.5;42;2;2;5;;pomelo|hierba fresca;pescados y mariscos|aves;Blanco de entrada, cítrico y muy fácil de beber.;120.jpg
Viña Montes;A-03;Chile;Montes Alpha Carmenère;tinto;Carmenère;Chile;Valle de Colchagua;2021;14.5;125;4;2;3;4;pimiento|mora|café;carnes rojas;La cepa insignia de Chile en su versión de guarda.;montes.jpg
Viña Errázuriz;A-04;Chile;Max Reserva Chardonnay;blanco;Chardonnay;Chile;Aconcagua Costa;2023;13.5;95;3;2;4;;manzana|avellana|mantequilla;aves|pescados y mariscos;Chardonnay costero con barrica medida, cremoso pero fresco.;max.jpg
Viña Valdivieso;A-05;Chile;Valdivieso Brut;espumante;Chardonnay;Chile;Valle Central;;12;68;2;2;5;;manzana verde|levadura;pescados y mariscos|solo, para tomar;De la casa espumante más antigua de Chile.;brut.jpg
Bodega Catena Zapata;B-01;Argentina;Catena Malbec;tinto;Malbec;Argentina;Mendoza;2022;13.5;135;4;3;3;4;ciruela|violeta|tabaco;carnes rojas|pastas;El Malbec que puso a Argentina en el mapa del vino.;catena.jpg
Trapiche;B-02;Argentina;Broquel Cabernet Sauvignon;tinto;Cabernet Sauvignon;Argentina;Mendoza;2021;14;88;4;2;3;4;grosella|pimiento|cedro;carnes rojas;Cabernet mendocino de precio contenido y buena estructura.;broquel.jpg
El Esteco;B-03;Argentina;Don David Torrontés;blanco;Torrontés;Argentina;Cafayate;2024;13.5;72;2;3;4;;azahar|durazno|jazmín;aves|pescados y mariscos;La cepa blanca argentina: huele dulce y entra seco.;don-david.jpg
Susana Balbo Wines;B-04;Argentina;Crios Rosé of Malbec;rosado;Malbec;Argentina;Valle de Uco;2024;13;78;2;2;4;;frutilla|pomelo|rosa;aves|solo, para tomar;Rosado seco de Malbec, de la primera enóloga de Argentina.;crios.jpg
Mascota Vineyards;B-05;Argentina;La Mascota Cabernet Sauvignon;tinto;Cabernet Sauvignon;Argentina;Mendoza;2021;14;89;4;2;3;4;cassis|pimiento|vainilla;carnes rojas|quesos;Tinto estructurado con paso por barrica y taninos firmes.;mascota.jpg
Tacama;C-01;Perú;Tacama Gran Tinto;tinto;Malbec;Perú;Ica;2022;13;48;3;2;4;3;ciruela|tierra húmeda;carnes rojas|pastas;De la viña más antigua de Sudamérica, en pleno desierto de Ica.;gran-tinto.jpg
Tacama;C-01;Perú;Tacama Blanco de Blancos;blanco;Sauvignon Blanc;Perú;Ica;2024;12;38;1;2;4;;pera|flores blancas;pescados y mariscos;Blanco peruano liviano, pensado para el cebiche.;blancos-blancos.jpg
